,expReturns,expRisk,SharpeRatio
0,19.2,21.6,0.6574074074074073
1,20.9,22.0,0.7227272727272727
2,21.0,22.1,0.7239819004524887
3,25.4,24.3,0.8395061728395061
4,25.5,22.0,0.9318181818181818
5,29.4,21.9,1.1141552511415524
6,35.3,26.6,1.139097744360902
7,48.3,34.0,1.2735294117647058
8,53.8,34.8,1.4022988505747127
9,47.0,30.7,1.3680781758957654
10,59.0,34.3,1.5743440233236152
11,73.6,32.0,2.14375
12,96.0,36.4,2.5
13,98.2,36.8,2.5326086956521743
14,99.1,36.6,2.57103825136612
15,107.2,38.5,2.6545454545454548
16,137.5,44.9,2.951002227171492
17,135.5,44.6,2.9260089686098656
18,274.5,62.9,4.284578696343402
19,287.6,62.7,4.507177033492823
20,336.9,69.3,4.789321789321789
21,228.4,56.6,3.9469964664310955
22,536.8,89.1,5.968574635241302
23,285.9,59.1,4.752961082910321
24,314.0,60.4,5.1158940397351
25,323.6,60.0,5.3100000000000005
26,320.7,59.8,5.2792642140468224
27,336.5,60.8,5.452302631578948
28,321.1,59.5,5.312605042016807
29,332.9,60.8,5.3930921052631575
30,290.7,57.2,4.994755244755244
31,291.7,58.1,4.93459552495697
32,519.9,76.3,6.748361730013106
33,556.3,78.8,6.996192893401015
34,551.7,78.8,6.93781725888325
35,584.8,82.2,7.053527980535279
36,746.4,91.7,8.085059978189749
37,299.9,56.3,5.238010657193605
38,298.5,55.8,5.259856630824373
39,289.7,55.3,5.1482820976491865
40,288.6,55.2,5.13768115942029
41,806.7,89.5,8.957541899441342
42,626.1,83.2,7.465144230769231
43,634.2,83.2,7.5625
44,1016.3,98.1,10.308868501529052
45,949.7,96.6,9.779503105590063
46,919.3,96.1,9.514047866805411
47,930.5,93.9,9.856230031948881
48,921.3,96.0,9.544791666666667
49,917.9,95.0,9.609473684210526
50,2177.5,129.0,16.84108527131783
51,2144.4,128.1,16.701014832162375
52,912.2,93.6,9.692307692307693
53,920.0,93.7,9.765208110992528
54,5.550225678954363e+58,7037.5,7.886643948780623e+54
55,8.299856371424707e+58,6980.0,1.1890911706912188e+55
56,1.5538299094876925e+17,1528.8,101637225895322.64
57,1.1977953168257968e+61,7319.6,1.6364218219927276e+57
58,4.85098404413515e+58,6931.4,6.998563124527729e+54
59,2.1296212466122656e+45,4927.4,4.321997902772792e+41
60,1.841158789609288e+45,4919.1,3.7428773344906336e+41
61,3.119306552047711e+45,4930.3,6.326808819032738e+41
62,1.5502094716651742e+57,6587.2,2.3533663342014424e+53
63,4.32950486408085e+44,4742.8,9.12858409395473e+40
64,3.5201485288743156e+44,4732.4,7.438400238513895e+40
65,7.848097133777327e+115,18408.8,4.2632312447184647e+111
66,1.7330858390742136e+163,33821.7,5.124183110471128e+158
67,1.1593322504163451e+177,39872.7,2.907584012159561e+172
68,1.3688987862854558e+114,18066.9,7.57683269562269e+109
69,1.1012640832751166e+94,13269.7,8.29908802214908e+89
70,2.0973895783010285e+112,17343.8,1.2093022165275363e+108
71,7.807653327293328e+112,17376.1,4.493328956033476e+108
72,3.258483854244223e+115,18292.2,1.781351534667357e+111
73,9.93879477733928e+115,18412.9,5.397734619391448e+111
74,7.580386035130963e+296,139243.1,5.443994018469111e+291
75,1.2526045221145526e+297,139837.6,8.957565934445046e+291
76,3.2810398612483288e+289,129411.2,2.5353600470811868e+284
77,5.621583339580456e+289,128322.4,4.380827774091239e+284
78,4.0354192456640355e+284,119399.5,3.379762265054741e+279
79,3.2810342668485316e+250,85419.5,3.841083437445234e+245
80,2.8309404994864764e+281,117254.8,2.41434934816014e+276
81,1.7452927370936557e+283,118090.2,1.4779319004402193e+278
82,9.377306872786499e+306,148583.2,6.311148819507521e+301
83,1.1550969484047406e+307,148690.7,7.768454573182724e+301
84,2.6290707520265182e+284,118612.5,2.2165208152821315e+279
85,1.0195983783171707e+285,117956.9,8.643821415425217e+279
86,4.24330881040899e+283,117834.5,3.601075075982832e+278
87,5.063579320322797e+290,126572.0,4.000552507918653e+285
88,1.1601087832354869e+275,107425.4,1.0799203756611444e+270
89,3.3374030399503463e+271,102255.5,3.263788294957578e+266
90,6.987151212276958e+270,102235.1,6.834395635429474e+265
91,7.249035022046557e+270,102286.2,7.087011759207554e+265
92,1.8874263258150197e+270,102089.0,1.848804793675146e+265
93,6.942122106628856e+270,102040.0,6.803334091169007e+265
94,1.1778812918921689e+269,99839.2,1.1797783755200051e+264
95,9.067849608159006e+269,101376.9,8.94469016921903e+264
96,5.876865852243486e+263,94226.7,6.236943299769052e+258
97,6.373478920107495e+271,102270.2,6.232000054862018e+266
98,7.621059414298541e+271,102597.7,7.428099669191942e+266
99,1.2372544316299732e+273,104471.7,1.1842962559525433e+268
100,4.367890464521987e+271,102785.2,4.249532485729451e+266
