Company,Weight
APOLLO HOSPITALS ENTERPRISE LTD.,229.56268205926574
ASIAN PAINTS LTD.,555.9296622684757
BAJAJ FINANCE LTD.,395.98435638915265
BHARAT PETROLEUM CORPN. LTD.,-119.59787913214683
BHARTI AIRTEL LTD.,104.2728533081062
BRITANNIA INDUSTRIES LTD.,-89.55948279226934
CIPLA LTD.,17.643292012745526
COAL INDIA LTD.,-518.5963053669701
DIVI'S LABORATORIES LTD.,1382.4744295369198
DR. REDDY'S LABORATORIES LTD.,183.5408955773903
EICHER MOTORS LTD.,-397.83799079479917
GRASIM INDUSTRIES LTD.,-572.8990685480918
ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,-175.0068262921802
H C L TECHNOLOGIES LTD.,2.9524736618129914
H D F C BANK LTD.,-269.4012133943965
H D F C LIFE INSURANCE CO. LTD.,20.012802228900547
HERO MOTOCORP LTD.,-206.42269023117552
HINDALCO INDUSTRIES LTD.,69.66451493364559
HINDUSTAN UNILEVER LTD.,328.2166618894053
HOUSING DEVELOPMENT FINANCE CORPN. LTD.,190.60211608599258
I C I C I BANK LTD.,595.9726601684415
I T C LTD.,-593.7995320340159
INDUSIND BANK LTD.,-41.55577054920492
INFOSYS LTD.,335.9086775891354
J S W STEEL LTD.,172.04405446279597
KOTAK MAHINDRA BANK LTD.,106.51874233649693
ULTRATECH CEMENT LTD.,13.560175277797303
LARSEN & TOUBRO LTD.,6.176844863429656
MAHINDRA & MAHINDRA LTD.,232.08589184109297
TECH MAHINDRA LTD.,-9.13768546883848
MARUTI SUZUKI INDIA LTD.,-625.5050589101238
N T P C LTD.,-2159.8447769869285
NESTLE INDIA LTD.,289.9173503992299
OIL & NATURAL GAS CORPN. LTD.,-51.905364287604066
TATA CONSULTANCY SERVICES LTD.,-124.61104573234816
POWER GRID CORPN. OF INDIA LTD.,201.88927059341552
RELIANCE INDUSTRIES LTD.,159.63001727520853
S B I LIFE INSURANCE CO. LTD.,-202.0583749762038
U P L LTD.,-565.5669874437352
SHREE CEMENT LTD.,682.8021624829685
STATE BANK OF INDIA,-253.0007646839763
SUN PHARMACEUTICAL INDS. LTD.,-397.4145575405536
TATA MOTORS LTD.,-395.60312258099077
TATA STEEL LTD.,115.0362059819519
TATA CONSUMER PRODUCTS LTD.,649.2884904992545
TITAN COMPANY LTD.,534.3707069576724
AXIS BANK LTD.,131.6134420358716
WIPRO LTD.,353.7359251196366
BAJAJ AUTO LTD.,-404.8140952498365
BAJAJ FINSERV LTD.,113.7312351601781
